id_venda,data_venda,id_cliente,id_produto,quantidade,forma_pagamento
V00070,2025-05-24,C0120,P0064,5,Cartão de crédito
V00071,2025-11-24,C0053,P0065,4,Pix
V00072,2025-02-28,C0012,P0049,3,Boleto
V00073,2025-05-30,C0005,P0052,2,Pix
V00074,2025-08-21,C0149,P0076,5,Boleto
V00075,2025-10-30,C0040,P0051,4,Cartão de crédito
V00076,2025-08-24,C0098,P0036,3,Boleto
V00077,2025-05-26,C0141,P0043,2,Boleto
V00078,2025-09-21,C0196,P0053,3,Pix
V00079,2025-04-16,C0044,P007,4,Boleto
V00080,2025-06-23,C0036,P0048,3,Boleto
V00081,2025-05-15,C0048,P0048,5,Boleto
V00082,2025-06-20,C0009,P0069,1,Cartão de crédito
V00083,2025-01-07,C0106,P0052,1,Cartão de crédito
V00084,2025-03-11,C0182,P0070,2,Cartão de crédito
V00085,2025-08-12,C0130,P0080,1,Pix
V00086,2025-03-03,C0159,P0075,3,Boleto
V00087,2025-05-09,C0169,P0075,5,Pix
V00088,2025-01-07,C0137,P0062,1,Boleto
V00089,2025-01-13,C0005,P0072,4,Boleto
V00090,2025-07-02,C0074,P0073,3,Cartão de crédito
V00091,2025-11-21,C0111,P0025,5,Cartão de crédito
V00092,2025-04-09,C0135,P0059,1,Cartão de crédito
V00093,2025-07-16,C0159,P0078,2,Boleto
V00094,2025-12-29,C0069,P0019,3,Pix
V00095,2025-01-18,C0104,P0048,1,Pix
V00096,2025-09-07,C0179,P0033,5,Cartão de crédito
V00097,2025-12-01,C0212,P0058,3,Cartão de crédito
V00098,2025-04-06,C0104,P005,1,Pix
V00099,2025-07-19,C0122,P0047,4,Cartão de crédito
V00100,2025-06-25,C0022,P0033,1,Pix
V00101,2025-10-22,C0201,P0043,4,Pix
V00102,2025-04-08,C0136,P0048,5,Cartão de crédito
V00103,2025-08-05,C0178,P0054,2,Boleto
V00104,2025-10-05,C0012,P0070,4,Cartão de crédito
V00105,2025-07-10,C0145,P0061,3,Boleto
V00106,2025-07-03,C0218,P0066,1,Pix
V00107,2025-08-01,C0151,P0048,1,Cartão de crédito
V00108,2025-03-20,C0077,P0064,4,Cartão de crédito
V00109,2025-09-04,C0146,P0069,5,Pix
V00110,2025-12-06,C0099,P0071,5,Boleto
V00111,2025-03-22,C0129,P0078,2,Boleto
V00112,2025-02-24,C0026,P0022,3,Pix
V00113,2025-03-19,C0088,P0045,2,Boleto
V00114,2025-09-01,C0102,P0057,5,Pix
V00115,2025-10-11,C0070,P0054,1,Pix
V00116,2025-08-22,C0092,P0074,4,Boleto
V00117,2025-03-18,C0048,P0059,4,Boleto
V00118,2025-11-07,C0098,P0048,5,Cartão de crédito
V00119,2025-10-30,C0205,P0041,5,Cartão de crédito
V00120,2025-03-26,C0069,P0049,1,Cartão de crédito
V00121,2025-10-11,C0040,P0053,4,Boleto
V00122,2025-11-21,C0093,P0073,4,Cartão de crédito
V00123,2025-01-06,C0079,P0052,1,Pix
V00124,2025-10-04,C0027,P0041,3,Cartão de crédito
V00125,2025-07-11,C0111,P0071,1,Pix
V00126,2025-07-22,C0132,P0069,5,Pix
V00127,2025-01-27,C0023,P0041,1,Pix
V00128,2025-04-06,C0153,P0047,5,Boleto
V00129,2025-01-30,C0004,P0051,3,Pix
V00130,2025-02-02,C0200,P0033,4,Cartão de crédito
V00131,2025-09-06,C0147,P0041,5,Boleto
V00132,2025-01-25,C0044,P0061,2,Cartão de crédito
V00133,2025-11-05,C0069,P0074,3,Pix
V00134,2025-03-06,C0043,P0076,2,Pix
V00135,2025-03-07,C0077,P0011,3,Pix
V00136,2025-01-05,C0065,P0057,1,Cartão de crédito
V00137,2025-08-31,C0158,P0013,4,Cartão de crédito
V00138,2025-04-20,C0035,P0063,4,Pix
V00139,2025-02-10,C0086,P0071,1,Boleto
V00140,2025-12-04,C0113,P002,4,Pix
V00141,2025-10-28,C0153,P0065,4,Cartão de crédito
V00142,2025-11-25,C0155,P0034,3,Boleto
V00143,2025-05-05,C0081,P0057,2,Cartão de crédito
V00144,2025-11-23,C0075,P0074,4,Boleto
V00145,2025-08-12,C0201,P006,4,Cartão de crédito
V00146,2025-01-21,C0072,P0025,3,Pix
V00147,2025-04-27,C0145,P0062,3,Cartão de crédito
V00148,2025-07-12,C0047,P0027,5,Boleto
V00149,2025-01-28,C0187,P0067,5,Pix
V00150,2025-03-24,C0205,P0059,2,Pix
V00151,2025-02-23,C0173,P0058,1,Pix
V00152,2025-10-10,C0078,P0039,2,Cartão de crédito
V00153,2025-11-05,C0040,P0051,3,Boleto
V00154,2025-01-22,C0019,P0063,4,Pix
V00155,2025-05-05,C0150,P0049,5,Pix
V00156,2025-06-02,C0178,P0015,5,Pix
V00157,2025-02-07,C0203,P0051,5,Pix
V00158,2025-08-31,C0164,P0059,5,Cartão de crédito
V00159,2025-09-12,C0169,P0049,1,Boleto
V00160,2025-06-20,C0166,P0029,3,Boleto
V00161,2025-07-30,C0166,P0045,1,Boleto
V00162,2025-12-06,C0204,P0041,4,Pix
V00163,2025-01-11,C0026,P001,1,Pix
V00164,2025-06-06,C0192,P0055,2,Boleto
V00165,2025-08-17,C0177,P0012,5,Boleto
V00166,2025-04-01,C0096,P0053,2,Pix
V00167,2025-11-26,C0151,P0032,4,Boleto
V00168,2025-06-04,C0089,P0043,5,Cartão de crédito
V00169,2025-04-18,C0076,P0064,4,Pix
V00170,2025-04-29,C0213,P0066,1,Boleto
V00171,2025-12-23,C0080,P0042,2,Pix
V00172,2025-07-31,C0134,P0025,4,Pix
V00173,2025-05-02,C0025,P001,3,Pix
V00174,2025-11-23,C0018,P0069,4,Pix
V00175,2025-04-28,C0006,P0071,1,Pix
V00176,2025-11-24,C0205,P0063,1,Cartão de crédito
V00177,2025-06-12,C0045,P0010,2,Boleto
V00178,2025-12-05,C0144,P0074,2,Pix
V00179,2025-08-26,C0205,P0069,4,Pix
V00180,2025-07-10,C0164,P0065,2,Boleto
V00181,2025-02-10,C0008,P0042,4,Boleto
V00182,2025-07-22,C0116,P0073,5,Boleto
V00183,2025-02-03,C0002,P0054,4,Boleto
V00184,2025-07-30,C0072,P0048,2,Boleto
V00185,2025-08-14,C0027,P0040,1,Boleto
V00186,2025-01-10,C0084,P0042,2,Cartão de crédito
V00187,2025-04-27,C0068,P0011,4,Boleto
V00188,2025-06-24,C0164,P0048,4,Pix
V00189,2025-02-02,C0157,P0068,5,Pix
V00190,2025-04-27,C0090,P0054,5,Pix
V00191,2025-09-24,C0045,P0052,4,Boleto
V00192,2025-09-21,C0152,P0041,3,Cartão de crédito
V00193,2025-11-17,C0031,P0051,2,Cartão de crédito
V00194,2025-04-30,C0047,P0052,3,Pix
V00195,2025-06-07,C0100,P0065,2,Pix
V00196,2025-05-22,C0148,P0056,5,Pix
V00197,2025-07-10,C0125,P0057,4,Boleto
V00198,2025-10-22,C0045,P0045,5,Boleto
V00199,2025-05-16,C0074,P0072,2,Cartão de crédito
V00200,2025-11-19,C0216,P0048,2,Pix
V00201,2025-02-24,C0092,P0058,5,Cartão de crédito
V00202,2025-05-20,C0050,P0049,4,Pix
V00203,2025-06-01,C0168,P0054,5,Pix
V00204,2025-05-18,C0107,P0045,4,Boleto
V00205,2025-05-15,C0043,P0080,4,Cartão de crédito
V00206,2025-02-01,C0204,P0052,5,Cartão de crédito
V00207,2025-02-03,C0071,P0074,3,Cartão de crédito
V00208,2025-10-23,C0044,P0046,5,Pix
V00209,2025-05-22,C0141,P0048,5,Boleto
V00210,2025-08-09,C0030,P004,1,Pix
V00211,2025-01-11,C0139,P0070,5,Cartão de crédito
V00212,2025-07-13,C0056,P0046,4,Pix
V00213,2025-10-31,C0193,P0058,1,Cartão de crédito
V00214,2025-02-03,C0116,P0041,3,Pix
V00215,2025-03-31,C0113,P0074,3,Cartão de crédito
V00216,2025-08-03,C0208,P0074,2,Boleto
V00217,2025-12-26,C0182,P0070,5,Boleto
V00218,2025-06-19,C0158,P0025,4,Cartão de crédito
V00219,2025-07-31,C0207,P0055,2,Cartão de crédito
V00220,2025-12-26,C0137,P0036,5,Pix
V00221,2025-07-05,C0044,P0049,5,Pix
V00222,2025-10-24,C0147,P0037,3,Pix
V00223,2025-11-26,C0209,P0036,5,Cartão de crédito
V00224,2025-02-26,C0016,P0035,2,Pix
V00225,2025-05-16,C0064,P0049,2,Cartão de crédito
V00226,2025-09-11,C0195,P0066,3,Boleto
V00227,2025-05-16,C0037,P0064,4,Boleto
V00228,2025-10-04,C0107,P0076,3,Pix
V00229,2025-03-19,C0163,P0054,4,Cartão de crédito
V00230,2025-06-11,C0192,P004,4,Pix
V00231,2025-04-10,C0125,P0044,3,Pix
V00232,2025-01-03,C0199,P009,5,Boleto
V00233,2025-04-14,C0163,P0051,1,Boleto
V00234,2025-03-06,C0204,P004,3,Boleto
V00235,2025-08-12,C0110,P0041,4,Cartão de crédito
V00236,2025-10-02,C0083,P006,4,Pix
V00237,2025-07-14,C0148,P0049,3,Cartão de crédito
V00238,2025-05-11,C0202,P0012,5,Pix
V00239,2025-02-17,C0026,P0057,1,Boleto
V00240,2025-01-17,C0032,P0057,4,Cartão de crédito
V00241,2025-04-12,C0001,P0075,4,Pix
V00242,2025-05-16,C0167,P0054,2,Pix
V00243,2025-10-08,C0024,P0056,2,Boleto
V00244,2025-09-14,C0022,P0049,3,Pix
V00245,2025-02-23,C0102,P0056,2,Boleto
V00246,2025-08-28,C0110,P0067,3,Boleto
V00247,2025-04-08,C0001,P0061,1,Cartão de crédito
V00248,2025-03-21,C0034,P0029,4,Boleto
V00249,2025-06-15,C0175,P0076,2,Pix
V00250,2025-01-09,C0179,P0062,1,Pix
V00251,2025-03-08,C0178,P0066,1,Cartão de crédito
V00252,2025-03-14,C0059,P0033,4,Pix
V00253,2025-04-15,C0027,P0063,1,Pix
V00254,2025-11-03,C0036,P0058,3,Pix
V00255,2025-10-18,C0174,P0011,2,Cartão de crédito
V00256,2025-06-27,C0145,P0026,1,Cartão de crédito
V00257,2025-10-27,C0043,P0067,5,Pix
V00258,2025-08-07,C0161,P0062,3,Boleto
V00259,2025-02-26,C0158,P0079,2,Boleto
V00260,2025-08-11,C0023,P0078,4,Cartão de crédito
V00261,2025-05-07,C0151,P0049,2,Boleto
V00262,2025-12-26,C0110,P0016,4,Pix
V00263,2025-09-11,C0071,P003,2,Boleto
V00264,2025-09-12,C0142,P0031,1,Boleto
V00265,2025-09-14,C0073,P0026,5,Boleto
V00266,2025-11-05,C0078,P0070,1,Cartão de crédito
V00267,2025-09-13,C0131,P0062,5,Cartão de crédito
V00268,2025-10-30,C0166,P0068,4,Cartão de crédito
V00269,2025-05-21,C0099,P0060,2,Cartão de crédito
V00270,2025-05-26,C0164,P0037,2,Boleto
V00271,2025-06-24,C0004,P0011,1,Pix
V00272,2025-05-16,C0100,P0046,3,Boleto
V00273,2025-01-10,C0140,P0076,4,Boleto
V00274,2025-04-27,C0198,P0020,2,Cartão de crédito
V00275,2025-08-24,C0018,P0055,1,Cartão de crédito
V00276,2025-08-09,C0011,P0038,3,Cartão de crédito
V00277,2025-06-02,C0074,P0054,4,Boleto
V00278,2025-03-01,C0109,P0042,5,Boleto
V00279,2025-03-26,C0164,P0069,4,Boleto
V00280,2025-09-22,C0040,P0063,5,Pix
V00281,2025-11-14,C0021,P0041,1,Boleto
V00282,2025-06-09,C0138,P0025,2,Pix
V00283,2025-08-23,C0163,P0073,4,Boleto
V00284,2025-11-14,C0179,P0061,1,Pix
V00285,2025-03-01,C0063,P0034,2,Cartão de crédito
V00286,2025-04-29,C0117,P0019,4,Boleto
V00287,2025-02-26,C0080,P0057,5,Boleto
V00288,2025-05-03,C0004,P0068,2,Boleto
V00289,2025-01-12,C0042,P0062,2,Pix
V00290,2025-06-19,C0133,P0044,3,Boleto
V00291,2025-06-20,C0096,P0039,3,Cartão de crédito
V00292,2025-05-01,C0198,P0067,3,Cartão de crédito
V00293,2025-03-15,C0070,P001,3,Boleto
V00294,2025-09-27,C0183,P0069,1,Boleto
V00295,2025-05-23,C0117,P0069,1,Boleto
V00296,2025-02-26,C0128,P0065,3,Boleto
V00297,2025-01-12,C0041,P0035,2,Pix
V00298,2025-08-10,C0173,P0055,1,Boleto
V00299,2025-08-22,C0190,P0078,1,Boleto
V00300,2025-02-15,C0220,P0077,1,Cartão de crédito
V00301,2025-02-17,C0121,P0045,2,Pix
V00302,2025-06-03,C0046,P0069,4,Cartão de crédito
V00303,2025-11-02,C0108,P0068,5,Cartão de crédito
V00304,2025-09-12,C0107,P0073,3,Boleto
V00305,2025-10-05,C0212,P0055,3,Cartão de crédito
V00306,2025-01-17,C0031,P0078,5,Boleto
V00307,2025-07-03,C0058,P006,1,Boleto
V00308,2025-02-15,C0018,P0052,1,Pix
V00309,2025-11-15,C0084,P0045,3,Cartão de crédito
V00310,2025-04-12,C0003,P0040,5,Pix
V00311,2025-10-26,C0145,P0030,2,Pix
V00312,2025-09-06,C0119,P0064,5,Pix
V00313,2025-05-20,C0198,P0055,5,Cartão de crédito
V00314,2025-09-09,C0039,P0078,5,Cartão de crédito
V00315,2025-01-25,C0060,P0044,4,Boleto
V00316,2025-10-13,C0215,P0059,3,Boleto
V00317,2025-12-10,C0001,P0063,1,Boleto
V00318,2025-11-11,C0027,P0065,4,Cartão de crédito
V00319,2025-09-01,C0108,P0078,5,Pix
V00320,2025-05-26,C0183,P0046,1,Pix
V00321,2025-02-14,C0060,P0067,1,Boleto
V00322,2025-01-17,C0118,P0050,4,Boleto
V00323,2025-08-17,C0025,P004,1,Boleto
V00324,2025-10-14,C0210,P0078,2,Pix
V00325,2025-08-29,C0146,P0056,1,Cartão de crédito
V00326,2025-11-09,C0034,P0044,4,Cartão de crédito
V00327,2025-09-25,C0218,P0056,3,Pix
V00328,2025-12-01,C0082,P0043,4,Pix
V00329,2025-08-28,C0020,P0056,3,Cartão de crédito
V00330,2025-08-21,C0028,P0055,2,Cartão de crédito
V00331,2025-06-18,C0116,P0055,1,Pix
V00332,2025-02-21,C0031,P0056,3,Boleto
V00333,2025-08-01,C0116,P0043,3,Pix
V00334,2025-09-29,C0219,P003,4,Cartão de crédito
V00335,2025-06-11,C0207,P0053,1,Boleto
V00336,2025-09-09,C0011,P0051,3,Cartão de crédito
V00337,2025-06-01,C0024,P0065,3,Boleto
V00338,2025-12-31,C0102,P0074,2,Boleto
V00339,2025-11-24,C0077,P0054,1,Pix
V00340,2025-02-01,C0104,P0068,2,Pix
V00341,2025-07-17,C0064,P0040,5,Cartão de crédito
V00342,2025-04-15,C0206,P001,4,Cartão de crédito
V00343,2025-01-13,C0016,P0041,1,Cartão de crédito
V00344,2025-07-22,C0211,P0042,2,Pix
V00345,2025-10-07,C0166,P0046,3,Cartão de crédito
V00346,2025-08-23,C0067,P0071,5,Cartão de crédito
V00347,2025-03-08,C0051,P0021,1,Boleto
V00348,2025-05-12,C0024,P0077,4,Pix
V00349,2025-02-13,C0119,P0070,1,Cartão de crédito
V00350,2025-08-10,C0111,P0060,2,Boleto
V00351,2025-05-23,C0008,P0041,4,Pix
V00352,2025-06-26,C0091,P0073,4,Cartão de crédito
V00353,2025-10-09,C0072,P0060,2,Pix
V00354,2025-02-05,C0158,P0073,2,Boleto
V00355,2025-09-09,C0166,P0049,5,Pix
V00356,2025-02-26,C0141,P0056,4,Pix
V00357,2025-03-31,C0072,P0075,1,Pix
V00358,2025-03-05,C0052,P0024,2,Boleto
V00359,2025-09-13,C0162,P0056,5,Boleto
V00360,2025-01-27,C0201,P0043,1,Boleto
V00361,2025-05-06,C0140,P0026,3,Pix
V00362,2025-08-02,C0129,P0036,3,Pix
V00363,2025-10-04,C0047,P0026,4,Cartão de crédito
V00364,2025-09-03,C0057,P0012,3,Cartão de crédito
V00365,2025-03-01,C0208,P0068,3,Pix
V00366,2025-01-02,C0197,P0060,5,Boleto
V00367,2025-06-13,C0026,P0012,2,Cartão de crédito
V00368,2025-09-30,C0137,P0063,2,Boleto
V00369,2025-08-13,C0148,P004,1,Pix
V00370,2025-06-27,C0046,P0061,3,Cartão de crédito
V00371,2025-11-22,C0207,P0070,5,Boleto
V00372,2025-08-28,C0008,P0047,3,Boleto
V00373,2025-08-04,C0145,P0041,3,Cartão de crédito
V00374,2025-07-12,C0215,P0069,5,Pix
V00375,2025-11-13,C0045,P003,5,Pix
V00376,2025-04-03,C0015,P0033,1,Cartão de crédito
V00377,2025-08-13,C0006,P0057,5,Boleto
V00378,2025-01-01,C0085,P0036,4,Boleto
V00379,2025-05-14,C0088,P0055,2,Boleto
V00380,2025-11-28,C0016,P0067,2,Cartão de crédito
V00381,2025-08-23,C0181,P005,2,Cartão de crédito
V00382,2025-06-22,C0094,P0019,1,Cartão de crédito
V00383,2025-11-09,C0102,P0048,3,Boleto
V00384,2025-12-11,C0078,P0053,1,Pix
V00385,2025-06-11,C0188,P0065,2,Pix
V00386,2025-10-26,C0082,P0049,4,Cartão de crédito
V00387,2025-09-20,C0202,P0050,5,Pix
V00388,2025-11-12,C0151,P0019,2,Cartão de crédito
V00389,2025-11-11,C0188,P0054,4,Boleto
V00390,2025-05-11,C0046,P0021,3,Boleto
V00391,2025-08-09,C0101,P0037,1,Boleto
V00392,2025-07-06,C0155,P0050,1,Pix
V00393,2025-08-15,C0164,P0073,5,Boleto
V00394,2025-05-23,C0037,P0076,1,Pix
V00395,2025-09-01,C0089,P0074,1,Pix
V00396,2025-10-13,C0023,P0029,2,Boleto
V00397,2025-04-02,C0003,P0054,3,Pix
V00398,2025-09-13,C0178,P0043,2,Cartão de crédito
V00399,2025-09-20,C0202,P0032,3,Cartão de crédito
V00400,2025-02-19,C0099,P0071,1,Pix
V00401,2025-06-20,C0106,P0037,4,Pix
V00402,2025-12-26,C0140,P0045,4,Pix
V00403,2025-05-05,C0202,P0022,1,Boleto
V00404,2025-06-16,C0116,P0014,2,Cartão de crédito
V00405,2025-10-29,C0006,P0055,1,Pix
V00406,2025-04-18,C0019,P0072,3,Pix
V00407,2025-01-20,C0042,P0029,2,Boleto
V00408,2025-07-14,C0024,P0013,1,Pix
V00409,2025-09-20,C0124,P0075,5,Boleto
V00410,2025-03-17,C0168,P0022,1,Cartão de crédito
V00411,2025-03-20,C0041,P0027,5,Cartão de crédito
V00412,2025-12-06,C0053,P0027,1,Cartão de crédito
V00413,2025-07-21,C0185,P0050,4,Boleto
V00414,2025-09-29,C0170,P0049,5,Pix
V00415,2025-09-01,C0025,P0062,3,Cartão de crédito
V00416,2025-08-08,C0141,P0060,4,Pix
V00417,2025-02-25,C0093,P0078,2,Cartão de crédito
V00418,2025-03-31,C0076,P0019,4,Boleto
V00419,2025-05-06,C0052,P0043,5,Cartão de crédito
V00420,2025-07-31,C0044,P0048,1,Boleto
V00421,2025-03-25,C0122,P0044,3,Cartão de crédito
V00422,2025-02-12,C0121,P0055,3,Pix
V00423,2025-04-04,C0165,P0060,3,Boleto
V00424,2025-07-09,C0095,P0075,4,Pix
V00425,2025-07-11,C0115,P0073,3,Cartão de crédito
V00426,2025-03-26,C0120,P0032,3,Pix
V00427,2025-10-03,C0145,P009,2,Cartão de crédito
V00428,2025-11-14,C0025,P0058,2,Cartão de crédito
V00429,2025-07-08,C0106,P008,3,Boleto
V00430,2025-07-20,C0016,P0025,2,Pix
V00431,2025-03-04,C0138,P0064,5,Boleto
V00432,2025-08-09,C0061,P0034,4,Pix
V00433,2025-03-22,C0102,P0048,3,Boleto
V00434,2025-05-29,C0147,P0047,1,Boleto
V00435,2025-11-24,C0159,P0052,5,Cartão de crédito
V00436,2025-04-04,C0045,P0055,1,Cartão de crédito
V00437,2025-07-17,C0033,P0028,2,Cartão de crédito
V00438,2025-03-22,C0175,P0067,4,Pix
V00439,2025-10-04,C0038,P0074,2,Boleto
V00440,2025-11-24,C0187,P0067,3,Cartão de crédito
V00441,2025-02-02,C0143,P004,1,Pix
V00442,2025-11-30,C0220,P0073,5,Pix
V00443,2025-04-14,C0004,P0019,5,Boleto
V00444,2025-08-24,C0134,P0033,5,Pix
V00445,2025-02-29,C0039,P0061,1,Cartão de crédito
V00446,2025-08-25,C0150,P0043,5,Cartão de crédito
V00447,2025-07-30,C0200,P0018,1,Cartão de crédito
V00448,2025-07-02,C0089,P0075,3,Pix
V00449,2025-01-28,C0168,P0056,3,Pix
V00450,2025-09-15,C0122,P0053,5,Cartão de crédito
V00451,2025-10-10,C0104,P0062,2,Cartão de crédito
V00452,2025-09-15,C0175,P0040,5,Boleto
V00453,2025-02-09,C0102,P0021,4,Pix
V00454,2025-02-20,C0191,P0077,2,Pix
V00455,2025-01-17,C0006,P0074,3,Pix
V00456,2025-11-15,C0072,P0057,3,Pix
V00457,2025-08-22,C0035,P0033,1,Pix
V00458,2025-11-25,C0069,P0069,4,Boleto
V00459,2025-09-11,C0166,P0010,4,Cartão de crédito
V00460,2025-03-28,C0055,P0023,2,Pix
V00461,2025-06-12,C0096,P0074,4,Cartão de crédito
V00462,2025-06-12,C0017,P0046,5,Pix
V00463,2025-02-18,C0035,P0022,5,Boleto
V00464,2025-01-30,C0045,P0071,5,Cartão de crédito
V00465,2025-03-01,C0064,P0053,2,Cartão de crédito
V00466,2025-02-21,C0093,P0073,4,Boleto
V00467,2025-10-08,C0095,P0075,2,Pix
V00468,2025-02-11,C0163,P0054,5,Cartão de crédito
V00469,2025-09-05,C0096,P0050,1,Pix
V00470,2025-04-01,C0046,P0044,5,Pix
V00471,2025-07-18,C0090,P0042,5,Pix
V00472,2025-09-22,C0192,P0075,2,Boleto
V00473,2025-10-19,C0008,P0065,1,Pix
V00474,2025-06-16,C0219,P005,1,Boleto
V00475,2025-08-15,C0166,P0058,2,Cartão de crédito
V00476,2025-10-03,C0167,P0072,2,Pix
V00477,2025-01-21,C0200,P0048,5,Boleto
V00478,2025-04-30,C0034,P0051,1,Boleto
V00479,2025-09-07,C0206,P0047,2,Cartão de crédito
V00480,2025-09-16,C0156,P0054,2,Pix
V00481,2025-03-09,C0097,P0056,3,Pix
V00482,2025-09-16,C0056,P0066,4,Pix
V00483,2025-11-24,C0134,P0058,3,Boleto
V00484,2025-08-21,C0027,P0022,4,Cartão de crédito
V00485,2025-11-09,C0216,P0022,5,Pix
V00486,2025-10-24,C0153,P0047,5,Boleto
V00487,2025-11-02,C0176,P0029,3,Cartão de crédito
V00488,2025-03-07,C0087,P0070,4,Pix
V00489,2025-10-11,C0067,P004,3,Boleto
V00490,2025-07-12,C0039,P0059,3,Boleto
V00491,2025-02-28,C0207,P0058,2,Boleto
V00492,2025-11-07,C0082,P0054,4,Boleto
V00493,2025-01-27,C0168,P0044,2,Pix
V00494,2025-09-23,C0108,P0056,3,Pix
V00495,2025-02-06,C0150,P0057,4,Boleto
V00496,2025-07-14,C0088,P0019,5,Boleto
V00497,2025-07-01,C0164,P0048,2,Pix
V00498,2025-06-03,C0077,P0050,3,Cartão de crédito
V00499,2025-07-05,C0076,P0047,5,Cartão de crédito
V00500,2025-05-12,C0190,P0064,4,Pix
V00501,2025-07-07,C0175,P0038,5,Pix
V00502,2025-08-16,C0091,P0029,1,Cartão de crédito
V00503,2025-03-06,C0202,P0069,3,Pix
V00504,2025-09-24,C0150,P0065,3,Pix
V00505,2025-05-01,C0121,P009,4,Cartão de crédito
V00506,2025-08-17,C0159,P0049,5,Cartão de crédito
V00507,2025-07-19,C0129,P0058,4,Cartão de crédito
V00508,2025-06-26,C0077,P0040,4,Pix
V00509,2025-06-04,C0036,P003,1,Cartão de crédito
V00510,2025-02-24,C0146,P0047,3,Pix
V00511,2025-11-20,C0184,P0051,2,Cartão de crédito
V00512,2025-05-14,C0086,P0070,1,Boleto
V00513,2025-11-17,C0163,P0067,2,Cartão de crédito
V00514,2025-04-07,C0071,P0073,1,Cartão de crédito
V00515,2025-08-13,C0196,P003,2,Cartão de crédito
V00516,2025-04-01,C0034,P0012,4,Boleto
V00517,2025-10-10,C0110,P006,4,Pix
V00518,2025-05-03,C0099,P0066,4,Cartão de crédito
V00519,2025-06-30,C0052,P0075,1,Boleto
